location_id,name,rate,review_count,city,region_jp,region_en,address,latitude,longitude,href,surrounding,attraction
72,都立芝公園,40,370,東京都,関東地方,Kanto,"""1～4, 東京都芝公園""",35.654938,139.7479837,https://www.tripadvisor.jp/Attraction_Review-g14129730-d1373793-Reviews-Shiba_Park-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,shrine
274,玉藻公園,40,357,香川県,四国地方,Shikoku,"""玉藻町2-1, 高松市""",34.3496864,134.0513908,https://www.tripadvisor.jp/Attraction_Review-g298232-d1397446-Reviews-Tamamo_Park-Takamatsu_Kagawa_Prefecture_Shikoku.html#REVIEWS,city,park
68,福山城,35,356,広島県,中国地方,Chugoku,"""丸之内一丁目8, 広島県福山市""",34.4907595,133.3611428,https://www.tripadvisor.jp/Attraction_Review-g298131-d1384414-Reviews-Fukuyama_Castle-Fukuyama_Hiroshima_Prefecture_Chugoku.html#REVIEWS,country,castle
99,汽車道,40,353,神奈川県,関東地方,Kanto,"""中区新港町, 横浜市""",35.4440077,139.6364423,https://www.tripadvisor.jp/Attraction_Review-g298173-d320021-Reviews-Kishamichi_Promenade-Yokohama_Kanagawa_Prefecture_Kanto.html#REVIEWS,city,water
22,舞鶴公園,40,343,福岡県,九州・沖縄地方,Kyushu - Okinawa,"""城内, 中央区""",33.5868971,130.3815658,https://www.tripadvisor.jp/Attraction_Review-g14127491-d325353-Reviews-Maizuru_Park-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html#REVIEWS,country,castle
583,旧芝離宮恩賜庭園,40,339,東京都,関東地方,Kanto,"""海岸1-4-1, 港区""",35.6580813,139.7515077,https://www.tripadvisor.jp/Attraction_Review-g1066451-d2075268-Reviews-Former_Shiba_Rikyu_Gardens-Minato_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,garden
10,砧公園,45,336,東京都,関東地方,Kanto,"""砧公園, 世田谷区""",35.6301013,139.6184342,https://www.tripadvisor.jp/Attraction_Review-g1066455-d1602616-Reviews-Kinuta_Park-Setagaya_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,park
547,岡崎城,40,333,東海地方,近畿地方,Kinki,"""康生町561, 愛知県岡崎市""",34.9561937,137.1590984,https://www.tripadvisor.jp/Attraction_Review-g788304-d1309910-Reviews-Okazaki_Castle-Okazaki_Aichi_Prefecture_Tokai_Chubu.html#REVIEWS,country,castle
33,喜多院,40,329,埼玉県,関東地方,Kanto,"""小仙波町1-20-1, 埼玉県川越市""",35.9172304,139.4895315,https://www.tripadvisor.jp/Attraction_Review-g298177-d1397090-Reviews-Kitain-Kawagoe_Saitama_Prefecture_Kanto.html#REVIEWS,country,shrine
159,谷中霊園,40,314,東京都,関東地方,Kanto,"""7-5-24, 東京都谷中""",35.7250389,139.7690417,https://www.tripadvisor.jp/Attraction_Review-g14134297-d1603597-Reviews-Yanaka_Cemetery-Yanaka_Taito_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,
27,さくらの山公園,45,313,千葉県,関東地方,Kanto,"""駒井野1338-1, 千葉県成田市""",35.7771476,140.3632809,https://www.tripadvisor.jp/Attraction_Review-g298161-d1580227-Reviews-Sakura_no_yama_Park-Narita_Chiba_Prefecture_Kanto.html#REVIEWS,country,park
611,旧岩崎邸庭園,40,310,東京都,関東地方,Kanto,"""池之端1-3-45, 台東区""",35.7099507,139.7675841,https://www.tripadvisor.jp/Attraction_Review-g1066461-d321036-Reviews-Kyu_Iwasakitei_Teien-Taito_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,country,park
23,鶴舞公園,40,300,東海地方,近畿地方,Kinki,"""昭和区鶴舞1, 名古屋市""",35.1546224,136.9204248,https://www.tripadvisor.jp/Attraction_Review-g298106-d1309834-Reviews-Tsuruma_Park-Nagoya_Aichi_Prefecture_Tokai_Chubu.html#REVIEWS,city,park
407,河津七滝,40,299,東海地方,近畿地方,Kinki,"""梨本, 静岡県河津町""",34.8055011,138.9303587,https://www.tripadvisor.jp/Attraction_Review-g1121206-d1238306-Reviews-Kawazu_Nanadaru_Waterfalls-Kawazu_cho_Kamo_gun_Shizuoka_Prefecture_Tokai_Chubu.html#REVIEWS,country,park
37,高遠城址公園,45,297,甲信越,中部地方,Chubo,"""高遠町東高遠, 長野県伊那市""",35.8378337,138.0753917,https://www.tripadvisor.jp/Attraction_Review-g1021343-d552422-Reviews-Takato_Castle_Remains_Park-Ina_Nagano_Prefecture_Koshinetsu_Chubu.html#REVIEWS,country,castle
28,吉野山,45,292,奈良県,近畿地方,Kinki,奈良県吉野町,34.396001,135.857574,https://www.tripadvisor.jp/Attraction_Review-g1121327-d1384139-Reviews-Mt_Yoshino-Yoshino_cho_Yoshino_gun_Nara_Prefecture_Kinki.html#REVIEWS,country,mountain
50,駒沢オリンピック公園,40,292,東京都,関東地方,Kanto,"""駒沢公園1-1, 世田谷区""",35.6249206,139.6611525,https://www.tripadvisor.jp/Attraction_Review-g1066455-d1956573-Reviews-Komazawa_Olympic_Park-Setagaya_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,park
371,さがみ湖リゾート プレジャーフォレスト,40,292,神奈川県,関東地方,Kanto,"""緑区若柳1634, 神奈川県相模原市""",35.6048198,139.2011658,https://www.tripadvisor.jp/Attraction_Review-g1021282-d1881044-Reviews-Sagami_Lake_Resort_Pleasure_Forest-Sagamihara_Kanagawa_Prefecture_Kanto.html#REVIEWS,country,water
104,池上本門寺,40,289,東京都,関東地方,Kanto,"""池上1-1-1, 大田区""",35.5778476,139.7053026,https://www.tripadvisor.jp/Attraction_Review-g1066454-d1237077-Reviews-Ikegami_Hommon_ji_Temple-Ota_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,shrine
831,南禅寺 順正,40,289,京都府,近畿地方,Kinki,"""左京区南禅寺門前, 京都市""",35.0114138,135.7944841,https://www.tripadvisor.jp/Restaurant_Review-g298564-d1678712-Reviews-Nanzenji_Junsei-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS,country,shrine
44,はままつフラワーパーク,40,288,東海地方,近畿地方,Kinki,"""西区舘山寺町195, 静岡県浜松市""",34.7632995,137.6329047,https://www.tripadvisor.jp/Attraction_Review-g303148-d553455-Reviews-Hamamatsu_Flower_Park-Hamamatsu_Shizuoka_Prefecture_Tokai_Chubu.html#REVIEWS,country,garden
272,京都御苑,45,285,京都府,近畿地方,Kinki,"""上京区, 京都市""",35.0281683,135.7568372,https://www.tripadvisor.jp/Attraction_Review-g298564-d543479-Reviews-Kyoto_Gyoen_National_Garden-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS,city,garden
88,隅田公園,40,275,東京都,関東地方,Kanto,"""1-2-5, 東京都向島""",35.7151607,139.8073929,https://www.tripadvisor.jp/Attraction_Review-g14134348-d2549569-Reviews-Sumida_Park-Mukou_jima_Sumida_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,park
49,道後公園(湯築城跡),40,268,愛媛県,四国地方,Shikoku,"""道後公園, 愛媛県松山市""",33.8485271,132.7863684,https://www.tripadvisor.jp/Attraction_Review-g298230-d1383907-Reviews-Dogo_Park_Ruins_of_Yuzuki_Castle-Matsuyama_Ehime_Prefecture_Shikoku.html#REVIEWS,city,park
17,飛鳥山公園,40,263,東京都,関東地方,Kanto,"""王子1-1-3, 東京都北区""",35.7496151,139.7389209,https://www.tripadvisor.jp/Attraction_Review-g1066448-d2423696-Reviews-Asukayama_Park-Kita_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,park
333,金峯山寺,45,263,奈良県,近畿地方,Kinki,"""吉野山, 奈良県吉野町""",34.3628367,135.868331,https://www.tripadvisor.jp/Attraction_Review-g1121327-d1386050-Reviews-Kinpusenji_Temple-Yoshino_cho_Yoshino_gun_Nara_Prefecture_Kinki.html#REVIEWS,country,mountain
75,千波湖遊歩道,40,262,茨城県,関東地方,Kanto,茨城県水戸市,36.3658764,140.4713723,https://www.tripadvisor.jp/Attraction_Review-g298166-d1424206-Reviews-Semba_Boadwalk-Mito_Ibaraki_Prefecture_Kanto.html#REVIEWS,country,water
77,毛馬桜之宮公園,45,261,大阪府,近畿地方,Kinki,"""北区長柄東1丁目, 大阪市""",34.7116823,135.5187145,https://www.tripadvisor.jp/Attraction_Review-g298566-d2005658-Reviews-Kemasakuranomiya_Park-Osaka_Osaka_Prefecture_Kinki.html#REVIEWS,country,park
582,小倉駅 駅舎,40,261,福岡県,九州・沖縄地方,Kyushu - Okinawa,"""小倉北区 浅野 1丁目, 北九州市""",33.8869088,130.885787,https://www.tripadvisor.jp/Attraction_Review-g303160-d8699825-Reviews-Kokura_Station_Building-Kitakyushu_Fukuoka_Prefecture_Kyushu.html#REVIEWS,country,
76,盛岡城跡公園,40,258,岩手県,東北地方,Tohoku,"""丸1-37, 岩手県盛岡市""",39.872962,141.173324,https://www.tripadvisor.jp/Attraction_Review-g298247-d555342-Reviews-Iwate_Park_Koen-Morioka_Iwate_Prefecture_Tohoku.html#REVIEWS,city,shrine
