location_id,name,rate,review_count,city,region,address,latitude,longitude,href
912,多摩川台公園古墳展示室,35,33,東京都,関東地方,"""田園調布1-63-1, 大田区""",35.590027,139.6669571,https://www.tripadvisor.jp/Attraction_Review-g1066454-d1425377-Reviews-Tamagawadai_Park_The_Ancient_Tomb_Exhibition_Room-Ota_Tokyo_Tokyo_Prefecture_Kan.html#REVIEWS
913,東雲公園,35,5,栃木県,関東地方,"""壬生甲600, 栃木県壬生町""",36.4362822,139.8099505,https://www.tripadvisor.jp/Attraction_Review-g1121049-d11716539-Reviews-Shinonome_Park-Mibu_machi_Shimotsuga_gun_Tochigi_Prefecture_Kanto.html#REVIEWS
914,光明寺,35,3,神奈川県,関東地方,"""国府津1082, 神奈川県小田原市""",35.2816335,139.2087604,https://www.tripadvisor.jp/Attraction_Review-g1021278-d12829565-Reviews-Komyo_ji_Temple-Odawara_Kanagawa_Prefecture_Kanto.html#REVIEWS
915,マリーナ ビーチ,40,3932,Chennai District,,"""Marina Beach Road, チェンナイ (マドラス), Chennai District, タミル ナードゥ州, インド""",13.0514065,80.2814243,https://www.tripadvisor.jp/Attraction_Review-g304556-d321279-Reviews-Marina_Beach-Chennai_Madras_Chennai_District_Tamil_Nadu.html#REVIEWS
916,葛城山麓公園,45,13,奈良県,近畿地方,"""寺口1563番地, 奈良県葛城市""",34.4764885,135.7072306,https://www.tripadvisor.jp/Attraction_Review-g1022865-d1385947-Reviews-Katsuragi_Sanroku_Park-Katsuragi_Nara_Prefecture_Kinki.html#REVIEWS
917,カフェハマ,40,3,,,"""大浜町1-4, 兵庫県西宮市""",34.7257695,135.3280165,https://www.tripadvisor.jp/Restaurant_Review-g1022819-d2487449-Reviews-Cafe_Hama-Nishinomiya_Hyogo_Prefecture_Kinki.html#REVIEWS
918,奄美自然観察の森,40,31,鹿児島県,九州・沖縄地方,"""円1193, 鹿児島県龍郷町""",28.4132672,129.5893686,https://www.tripadvisor.jp/Attraction_Review-g1121604-d1821323-Reviews-Amami_Nature_Observation_Forest-Tatsugo_cho_Oshima_gun_Kagoshima_Prefecture_Kyus.html#REVIEWS
919,弘明寺観音,40,36,神奈川県,関東地方,"""南区弘明寺町267, 横浜市""",35.4243263,139.5977836,https://www.tripadvisor.jp/Attraction_Review-g298173-d1486932-Reviews-Gumyoji_Kannon-Yokohama_Kanagawa_Prefecture_Kanto.html#REVIEWS
920,スカイワードあさひ,40,32,東海地方,近畿地方,"""城山町長池下4517-1, 愛知県尾張旭市""",35.5891521,139.2854104,https://www.tripadvisor.jp/Attraction_Review-g1019655-d1309937-Reviews-Skyward_Asahi-Owariasahi_Aichi_Prefecture_Tokai_Chubu.html#REVIEWS
921,長久手古戦場,35,33,,,愛知県長久手市,35.1840825,137.0487221,https://www.tripadvisor.jp/Attraction_Review-g1121224-d1309783-Reviews-Nagakute_Foughten_Field-Nagakute_Aichi_Prefecture_Tokai_Chubu.html#REVIEWS
922,嵯峨野,45,757,京都府,近畿地方,"""右京区嵯峨天龍寺芒ノ馬場町, 京都市""",35.0154433,135.6745703,https://www.tripadvisor.jp/Attraction_Review-g298564-d1386107-Reviews-Sagano-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS
923,伊豆高原の桜並木,40,102,東海地方,近畿地方,"""八幡野, 静岡県伊東市""",34.8779404,139.0968699,https://www.tripadvisor.jp/Attraction_Review-g298123-d1312943-Reviews-Cherry_Blossom_Trees_at_Izu_Kogen_Highlands-Ito_Shizuoka_Prefecture_Tokai_Chubu.html#REVIEWS
924,千葉県立柏の葉公園,40,99,,,"""柏の葉4-1, 千葉県柏市""",35.895884,139.9379715,https://www.tripadvisor.jp/Attraction_Review-g1021247-d1314456-Reviews-Chiba_Kashiwanoha_Park-Kashiwa_Chiba_Prefecture_Kanto.html#REVIEWS
925,鶴牧西公園,40,9,東京都,関東地方,"""鶴牧2-18, 東京都多摩市""",35.6190658,139.4167402,https://www.tripadvisor.jp/Attraction_Review-g1060920-d7896302-Reviews-Tsurumaki_West_Park-Tama_Tokyo_Prefecture_Kanto.html#REVIEWS
926,京王フローラルガーデン アンジェ ,40,37,東京都,関東地方,"""多摩川4-38, 東京都調布市""",35.6443402,139.5343636,https://www.tripadvisor.jp/Attraction_Review-g1060905-d1594914-Reviews-Keio_Floral_Garden_Ange-Chofu_Tokyo_Prefecture_Kanto.html#REVIEWS
